,text,language,detected_language
0,Ship shape and Bristol fashion,English,en
1,Know the ropes,English,en
2,Graveyard shift,English,en
3,Milk of human kindness,English,en
4,Touch with a barge-pole - Wouldn't,English,en
5,Sy kan altyd my battery natpiepie.,Afrikaans,af
6,When the shit hits the fan,English,en
8,Egg on,English,en
9,Drag race,English,en
10,As queer as a nine bob note,English,en
12,Run the gauntlet,English,en
13,Raining cats and dogs,English,en
14,No laughing matter,English,en
15,Run of the mill,English,en
16,Piet Pompies van Soetmelksvlei is nie van hier nie.,Afrikaans,af
18,A drop in the ocean,English,en
19,In a trice,English,en
20,Auld lang syne,English,en
21,Dock your pay,English,en
22,Fair and square,English,en
23,As snug as a bug in a rug,English,en
24,Christmas box - A,English,en
25,Pip - Get the/got the /have the,English,en
26,Life's not all beer and skittles,English,en
27,Twenty three skidoo,English,en
28,Die lewe is 10 % wat met ons gebeur en 90 % ons reaksie daarop.,Afrikaans,af
29,Fancy free,English,en
30,Neither here nor there,English,en
31,"Saam met ons, rondom ons, in ons en by ons is die onsienlike. Hy sal altyd daar wees.",Afrikaans,af
32,As fit as a butcher's dog,English,en
33,The customer is always right,English,en
34,Dog is a man's best friend,English,en
35,"Vroeg uit die bed, maak die beursie vet!",Afrikaans,nl
36,"Die man met min woorde, se rekenaar is so kompak, dat daar nie plek is vir kaf nie.",Afrikaans,af
37,Knock into a cocked hat,English,en
38,Hulle is dik soos diewe.,Afrikaans,af
39,Grass up,English,en
40,Raise Cain,English,en
41,"“Pluk so ‘n spierwit dingetjie uit haar handsak en paf-paf op haar neus.” – CM van den Heever, Langs die Grootpad",Afrikaans,af
42,Your name is mud,English,en
43,Veel geskreeu en weinig wol.,Afrikaans,af
44,"Wyse woorde val dikwels op bar grond, maar ‘n vriendelike woord word nooit misken nie.",Afrikaans,af
45,Beauty is only skin deep,English,en
46,Strait-laced,English,en
47,As easy as pie,English,en
48,It is meat and drink to me,English,en
49,Using a sledgehammer to crack a nut,English,en
50,Om jou op die haaivlakte te bevind.,Afrikaans,af
52,Die gefluisterde woord trek verder as die harde geskreeu.,Afrikaans,af
53,Kick the bucket,English,en
54,Kop bo water hou.,Afrikaans,nl
55,Many a true word is spoken in jest,English,en
56,Hy het ‘n hallelujagesig en jazzvoete.,Afrikaans,af
57,Pound of flesh,English,en
58,(By the) skin of your teeth,English,en
59,Flesh and blood,English,en
60,Sy het ‘n regte naweeklyfie.,Afrikaans,af
61,Brownie points,English,en
62,Hy het miere.,Afrikaans,af
63,"POSH - Port out, starboard home",English,en
64,"Je moet geen oude schoenen weggooien, voordat je nieuwe hebt.",Nederlands,nl
65,Kerm soos ‘n kat oor ‘n derm.,Afrikaans,af
66,Met broek en baadjie .,Afrikaans,af
67,If I had my druthers,English,en
68,Rub of the green,English,en
69,Die henne wat die meeste kekkel lê nie die meeste eiers nie.,Afrikaans,af
71,Raspberry tart,English,en
72,Keep up with the Joneses,English,en
73,"Persoonlikheid het die mag om deure oop te maak, maar karakter is nodig om hul oop te hou.",Afrikaans,af
74,"While you live, tell truth and shame the Devil!",English,en
75,Ear-mark,English,en
76,Sticks and stones may break my bones,English,en
77,Doff your hat,English,en
78,Different kettle of fish,English,en
79,"Hê jou vyande lief, want jy het hulle gemaak.",Afrikaans,af
80,As pleased as Punch,English,en
81,Hangskouers soos ‘n kasteroliebottel.,Afrikaans,af
82,Run a mile,English,en
83,Put the wood in the hole,English,en
84,“Sy praat so baie sy sal die agterbeen van ‘n donkie afpraat.”,Afrikaans,af
85,God is dead,English,en
86,To boot,English,en
87,Tide over,English,en
88,Tyd is geld.,Afrikaans,af
89,Veg out,English,en
90,Exceedingly well read,English,en
91,Win one for the Gipper,English,en
92,Hand over fist,English,en
93,"Wie zaait, zal oogsten.",Nederlands,nl
94,Glass ceiling,English,en
95,Straight from the horse's mouth,English,en
97,Sound out,English,en
98,Stitch in time saves nine - A,English,en
99,Put up your dukes,English,en
100,Hy is ‘n regte cheapskate.,Afrikaans,af
101,Bodice ripper,English,en
102,All of a sudden,English,en
103,Paper tiger,English,en
104,Blot on the landscape,English,en
105,Got my mojo working,English,en
106,Karakter is soos ‘n boom en reputasie sy skaduwee. Die skaduwee is wat ons daarvan dink; die boom is die werklikheid.,Afrikaans,af
108,The hair of the dog that bit you,English,en
109,Hoi polloi,English,nl
110,Hy is nie so groen dat ‘n koei hom sal vreet nie.,Afrikaans,af
111,Don't have a clue,English,en
112,Curate's egg,English,en
113,Ashes to ashes dust to dust,English,en
114,To big for your boots,English,en
115,"Om te wees wat ons is en te word waartoe ons in staat is, is die enigste doelwit in die lewe.",Afrikaans,af
117,A plague on both your houses,English,en
118,Deus ex machina,English,pt
119,"Wie het eerst komt, het eerst maalt.",Nederlands,nl
121,Backroom boy,English,en
122,Elbow-grease,English,en
123,"Die by wat die lekker heuning maak, steek seer.",Afrikaans,af
124,Dog's bollocks,English,en
125,Night owl,English,en
126,’n Warm hart steek die ander aan die brand.,Afrikaans,af
127,Barking mad,English,en
128,Is the Pope Catholic?,English,en
129,"Goody, goody gumdrops",English,en
130,Course of true love never did run smooth - The,English,en
131,The nth degree,English,en
132,Lamb to the slaughter,English,en
133,Chain is only as strong as its weakest link - A,English,en
134,(The) penny drops,English,en
135,Soebat en bangoog kyk help niks.,Afrikaans,id
136,Writing is on the wall - The,English,en
137,Pull up stakes,English,en
138,Dog's dinner,English,en
139,The mutt's nuts,English,en
140,Shot in the arm,English,en
141,See red,English,en
142,So besig soos 'n miernes wees.,Afrikaans,af
143,Gedane zaken nemen geen keer.,Nederlands,nl
144,"Die beste manier om ‘n goeie indruk op iemand te maak, is om hom die geleentheid te gee om ‘n goeie indruk op jou te maak.",Afrikaans,af
145,"Hanged, drawn and quartered",English,en
146,Met ‘n aalwynpil in jou kies loop.,Afrikaans,nl
147,Dead ringer,English,en
148,Jy kan van ‘n padda nie vere pluk nie.,Afrikaans,af
